County Code,County Name,District Name,District Code,School Code,School Name,City,School Level,Student Fall Enrollment,Total Days Possible,Total Days Attended,Total Student Days Excused Absence,Total Student Days Unexcused Absent,Attendance Rate,Truancy Rate
1,ADAMS,WESTMINSTER 50,70,7860,SHERRELWOOD ELEMENTARY SCHOOL,DENVER,Elementary,270,45565,44930.20,492.10,142.70,0.99,0.00
1,ADAMS,WESTMINSTER 50,70,7952,SKYLINE VISTA ELEMENTARY SCHOOL,DENVER,Elementary,413,64683,64271.00,317.00,95.00,0.99,0.00
1,ADAMS,WESTMINSTER 50,70,8406,SUNSET RIDGE ELEMENTARY SCHOOL,WESTMINSTER,Elementary,348,58129,57228.60,686.80,213.60,0.98,0.00
1,ADAMS,WESTMINSTER 50,70,8798,TENNYSON KNOLLS ELEMENTARY SCHOOL,ARVADA,Elementary,410,66619,64704.70,1534.50,379.80,0.97,0.01
1,ADAMS,WESTMINSTER 50,70,9462,WESTMINSTER ELEMENTARY SCHOOL,WESTMINSTER,Elementary,224,38155,37109.70,501.70,543.60,0.97,0.01
1,ADAMS,WESTMINSTER 50,70,9466,WESTMINSTER HIGH SCHOOL,WESTMINSTER,Senior,2342,376111,316829.90,20035.90,39245.20,0.84,0.10
2,ALAMOSA,ALAMOSA RE-11J,100,114,ORTEGA MIDDLE SCHOOL,ALAMOSA,Middle/Jr. High,453,73608,69490.00,3219.00,899.00,0.94,0.01
2,ALAMOSA,ALAMOSA RE-11J,100,118,ALAMOSA HIGH SCHOOL,ALAMOSA,Senior,576,93409,88092.00,4020.00,1297.00,0.94,0.01
2,ALAMOSA,ALAMOSA RE-11J,100,119,ALAMOSA OPEN SCHOOL,ALAMOSA,Senior,44,7322,6356.00,460.00,506.00,0.87,0.07
2,ALAMOSA,ALAMOSA RE-11J,100,944,BOYD ELEMENTARY SCHOOL,ALAMOSA,Elementary,309,50863,48162.00,1989.00,712.00,0.95,0.01
2,ALAMOSA,ALAMOSA RE-11J,100,2402,POLSTON ELEMENTARY SCHOOL,ALAMOSA,Elementary,351,58662,55188.00,1675.00,1799.00,0.94,0.03
2,ALAMOSA,ALAMOSA RE-11J,100,2818,EVANS ELEMENTARY SCHOOL,ALAMOSA,Elementary,348,57334,54381.00,2137.00,816.00,0.95,0.01
2,ALAMOSA,SANGRE DE CRISTO RE-22J,110,7626,SANGRE DE CRISTO ELEMENTARY SCHOOL,HOOPER,Elementary,173,24070,22019.50,2050.50,0.00,0.91,0.00
2,ALAMOSA,SANGRE DE CRISTO RE-22J,110,7630,SANGRE DE CRISTO UNDIVIDED HIGH SCHOOL,MOSCA,Senior,139,19537,18392.00,819.00,326.00,0.94,0.02
3,ARAPAHOE,ENGLEWOOD 1,120,206,COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,ENGLEWOOD,Senior,387,24264,20755.00,2761.00,748.00,0.86,0.03
3,ARAPAHOE,ENGLEWOOD 1,120,1514,CHARLES HAY WORLD SCHOOL,ENGLEWOOD,Elementary,301,36259,34620.00,1291.00,348.00,0.95,0.01
3,ARAPAHOE,ENGLEWOOD 1,120,1556,CHERRELYN ELEMENTARY SCHOOL,ENGLEWOOD,Elementary,239,33208,31356.00,1281.00,571.00,0.94,0.02
3,ARAPAHOE,ENGLEWOOD 1,120,1652,CLAYTON ELEMENTARY SCHOOL,ENGLEWOOD,Elementary,458,55757,52486.00,911.00,2360.00,0.94,0.04
3,ARAPAHOE,ENGLEWOOD 1,120,2746,ENGLEWOOD HIGH SCHOOL,ENGLEWOOD,Senior,621,76140,64629.00,9564.20,1946.80,0.85,0.03
3,ARAPAHOE,ENGLEWOOD 1,120,2750,ENGLEWOOD LEADERSHIP ACADEMY,ENGLEWOOD,Middle/Jr. High,68,12048,11394.00,596.50,57.50,0.95,0.00
3,ARAPAHOE,ENGLEWOOD 1,120,2752,ENGLEWOOD MIDDLE SCHOOL,ENGLEWOOD,Middle/Jr. High,460,80771,74563.00,4861.60,1346.40,0.92,0.02
3,ARAPAHOE,ENGLEWOOD 1,120,5318,ENGLEWOOD EARLY CHILDHOOD EDUCATION CENTER AT MADDOX,ENGLEWOOD,Elementary,228,38788,35169.00,3619.00,0.00,0.91,0.00
